date,day_of_week,steps,sleep_hours,deep_sleep,rem_sleep,active_minutes,resting_heart_rate,season,is_weekend
2026-01-01,Thursday,7112,7.55,2.07,2.03,79,62,winter,0
2026-01-02,Friday,7291,7.28,1.65,2.06,72,62,winter,0
2026-01-03,Saturday,12566,8.04,1.71,1.87,120,66,winter,1
2026-01-04,Sunday,11143,8.3,1.83,1.53,118,63,winter,1
2026-01-05,Monday,9993,7.74,1.69,2.25,108,62,winter,0
2026-01-06,Tuesday,6488,7.37,1.48,2.24,72,61,winter,0
2026-01-07,Wednesday,9948,7.21,1.58,2.29,101,62,winter,0
2026-01-08,Thursday,7561,7.29,1.76,1.48,76,62,winter,0
2026-01-09,Friday,6046,7.67,1.74,1.36,63,62,winter,0
2026-01-10,Saturday,11897,8.35,2.46,2.18,116,58,winter,1
2026-01-11,Sunday,8469,8.39,1.82,2.23,80,63,winter,1
2026-01-12,Monday,7039,6.93,1.72,1.74,71,59,winter,0
2026-01-13,Tuesday,6710,7.11,1.49,1.83,67,65,winter,0
2026-01-14,Wednesday,6400,7.89,2.21,1.53,59,59,winter,0
2026-01-15,Thursday,9990,7.1,1.43,2.13,104,63,winter,0
2026-01-16,Friday,7817,8.19,1.54,1.76,81,64,winter,0
2026-01-17,Saturday,10201,8.85,1.84,2.27,105,61,winter,1
2026-01-18,Sunday,13064,8.96,1.55,1.8,120,63,winter,1
2026-01-19,Monday,6249,7.06,1.52,1.57,58,65,winter,0
2026-01-20,Tuesday,6390,7.54,1.6,1.79,60,63,winter,0
2026-01-21,Wednesday,9853,7.25,1.5,1.37,97,63,winter,0
2026-01-22,Thursday,6334,7.96,1.81,2.05,62,58,winter,0
2026-01-23,Friday,6628,8.35,2.31,1.91,75,59,winter,0
2026-01-24,Saturday,12864,8.62,2.13,2.26,120,63,winter,1
2026-01-25,Sunday,9224,8.23,1.88,1.64,94,62,winter,1
2026-01-26,Monday,8930,7.32,1.52,1.85,95,63,winter,0
2026-01-27,Tuesday,8735,7.82,1.73,1.83,89,63,winter,0
2026-01-28,Wednesday,9911,6.89,1.14,1.55,97,65,winter,0
2026-01-29,Thursday,7521,7.77,2.17,1.79,82,60,winter,0
2026-01-30,Friday,6826,7.04,1.65,1.53,69,62,winter,0
2026-01-31,Saturday,9504,8.61,1.88,2.29,104,59,winter,1
2026-02-01,Sunday,10240,8.0,1.63,2.17,111,59,winter,1
2026-02-02,Monday,8641,7.31,1.94,1.97,91,58,winter,0
2026-02-03,Tuesday,9294,7.06,1.53,1.45,96,60,winter,0
2026-02-04,Wednesday,6989,7.32,1.95,1.24,66,64,winter,0
2026-02-05,Thursday,8419,7.78,1.41,1.84,84,59,winter,0
2026-02-06,Friday,6934,8.02,1.7,1.98,77,61,winter,0
2026-02-07,Saturday,12908,8.31,2.05,2.2,120,58,winter,1
2026-02-08,Sunday,9987,9.02,1.99,2.29,106,60,winter,1
2026-02-09,Monday,7466,8.77,2.09,2.06,78,61,winter,0
2026-02-10,Tuesday,9561,7.34,1.92,1.69,101,60,winter,0
2026-02-11,Wednesday,6614,7.4,1.34,2.27,74,65,winter,0
2026-02-12,Thursday,7296,6.78,1.35,2.09,75,65,winter,0
2026-02-13,Friday,9597,8.1,1.68,2.13,90,57,winter,0
2026-02-14,Saturday,9300,8.78,1.87,1.79,92,60,winter,1
2026-02-15,Sunday,11002,7.9,1.76,2.14,108,62,winter,1
2026-02-16,Monday,9042,7.81,1.6,2.39,92,64,winter,0
2026-02-17,Tuesday,8667,8.11,1.34,1.61,91,61,winter,0
2026-02-18,Wednesday,8235,7.61,1.9,1.56,88,61,winter,0
2026-02-19,Thursday,9884,7.92,1.99,2.18,93,59,winter,0
2026-02-20,Friday,7121,7.59,1.38,1.81,74,59,winter,0
2026-02-21,Saturday,7358,7.78,2.18,2.07,73,64,winter,1
2026-02-22,Sunday,12405,8.99,1.95,1.94,120,57,winter,1
2026-02-23,Monday,7194,8.16,1.92,2.26,77,66,winter,0
2026-02-24,Tuesday,8983,7.87,1.86,1.83,92,63,winter,0
2026-02-25,Wednesday,9033,7.02,2.04,1.31,95,62,winter,0
2026-02-26,Thursday,6182,7.12,2.09,1.47,60,62,winter,0
2026-02-27,Friday,9030,6.93,1.59,1.91,99,61,winter,0
2026-02-28,Saturday,9397,8.41,2.21,2.4,92,61,winter,1
2026-03-01,Sunday,9285,8.1,1.86,1.85,98,61,spring,1
2026-03-02,Monday,10215,7.01,1.74,1.7,101,63,spring,0
2026-03-03,Tuesday,11054,7.27,1.53,2.14,105,62,spring,0
2026-03-04,Wednesday,9243,6.37,1.67,1.85,87,60,spring,0
2026-03-05,Thursday,10938,6.87,1.93,1.73,111,59,spring,0
2026-03-06,Friday,8906,6.12,1.0,1.36,95,61,spring,0
2026-03-07,Saturday,14331,7.19,1.33,1.52,120,64,spring,1
2026-03-08,Sunday,10845,7.81,1.46,1.59,114,61,spring,1
2026-03-09,Monday,10219,6.68,1.4,1.89,111,58,spring,0
2026-03-10,Tuesday,9425,7.4,1.97,1.79,103,62,spring,0
2026-03-11,Wednesday,10686,7.07,2.02,1.61,106,64,spring,0
2026-03-12,Thursday,7574,8.17,1.82,2.09,81,63,spring,0
2026-03-13,Friday,7039,6.85,1.95,1.63,75,60,spring,0
2026-03-14,Saturday,10829,6.6,1.29,1.72,115,59,spring,1
2026-03-15,Sunday,11351,7.69,1.24,1.67,111,62,spring,1
2026-03-16,Monday,10252,6.32,1.54,2.09,98,62,spring,0
2026-03-17,Tuesday,11084,7.29,1.72,1.48,118,60,spring,0
2026-03-18,Wednesday,8116,6.82,1.64,1.09,77,63,spring,0
2026-03-19,Thursday,8309,6.73,1.04,1.87,86,67,spring,0
2026-03-20,Friday,10943,6.74,1.63,1.96,118,62,spring,0
2026-03-21,Saturday,10784,7.73,1.44,1.8,106,62,spring,1
2026-03-22,Sunday,11665,7.51,1.64,1.54,114,60,spring,1
2026-03-23,Monday,6870,7.19,1.84,2.28,72,64,spring,0
2026-03-24,Tuesday,8600,7.32,1.31,2.35,93,62,spring,0
2026-03-25,Wednesday,9125,6.63,1.33,1.81,86,61,spring,0
2026-03-26,Thursday,10937,6.34,1.36,1.71,110,62,spring,0
2026-03-27,Friday,8475,6.54,1.61,1.74,81,63,spring,0
2026-03-28,Saturday,13803,8.02,2.02,1.47,120,61,spring,1
2026-03-29,Sunday,12864,7.67,1.58,1.79,120,64,spring,1
2026-03-30,Monday,11407,7.12,1.68,1.27,113,62,spring,0
2026-03-31,Tuesday,8536,7.68,1.54,2.22,90,61,spring,0
2026-04-01,Wednesday,9700,6.92,1.34,1.81,96,63,spring,0
2026-04-02,Thursday,7683,6.4,1.47,1.79,71,63,spring,0
2026-04-03,Friday,6767,7.33,1.53,1.93,62,59,spring,0
2026-04-04,Saturday,10085,7.61,1.71,2.29,97,64,spring,1
2026-04-05,Sunday,12143,8.12,1.71,2.23,120,61,spring,1
2026-04-06,Monday,8439,7.33,1.89,2.38,90,61,spring,0
2026-04-07,Tuesday,7322,6.32,1.43,1.13,77,64,spring,0
2026-04-08,Wednesday,7017,7.49,1.38,2.23,68,64,spring,0
2026-04-09,Thursday,8431,7.25,1.69,1.51,83,60,spring,0
2026-04-10,Friday,8184,6.5,1.42,1.72,77,64,spring,0
2026-04-11,Saturday,8825,7.47,1.78,2.17,90,60,spring,1
2026-04-12,Sunday,14655,7.75,1.81,1.19,120,65,spring,1
2026-04-13,Monday,9349,6.81,1.55,1.45,98,60,spring,0
2026-04-14,Tuesday,8104,7.24,1.39,2.01,89,63,spring,0
2026-04-15,Wednesday,10418,7.52,1.67,1.76,100,60,spring,0
2026-04-16,Thursday,8227,6.8,1.52,1.91,85,66,spring,0
2026-04-17,Friday,10448,7.47,1.07,1.71,100,60,spring,0
2026-04-18,Saturday,10465,8.17,1.37,1.92,111,63,spring,1
2026-04-19,Sunday,12987,7.53,2.04,1.96,120,59,spring,1
2026-04-20,Monday,6947,6.89,1.73,1.44,70,61,spring,0
2026-04-21,Tuesday,6933,6.22,1.45,1.47,78,63,spring,0
2026-04-22,Wednesday,9510,6.05,1.54,1.41,97,64,spring,0
2026-04-23,Thursday,10953,6.88,1.47,2.19,118,65,spring,0
2026-04-24,Friday,9852,6.37,1.92,1.47,103,58,spring,0
2026-04-25,Saturday,14339,7.6,2.12,1.89,120,61,spring,1
2026-04-26,Sunday,10169,7.47,1.61,2.24,102,65,spring,1
2026-04-27,Monday,7513,5.91,1.1,1.39,81,59,spring,0
2026-04-28,Tuesday,10759,6.98,1.36,1.5,107,63,spring,0
2026-04-29,Wednesday,9089,6.59,1.67,1.65,88,62,spring,0
2026-04-30,Thursday,10352,6.84,1.55,1.65,104,63,spring,0
